SoundAction No.,Perception type,Material,Environment,Enjoyability
1,Iterative,"plastic, snow",outdoor,Yes
2,Sustain,"snow, plastic",outdoor,Unknown
3,Iterative,"metal, wood",outdoor,No
4,Impulse,"wood, others",kitchen,Yes
5,Iterative,"metal, wood",outdoor,No
6,Impulse,"metal, plastic, fabric, snow, leather",outdoor,Neutral
7,Impulse,"metal, plastic, rubber",outdoor,Unknown
8,Impulse,"metal, wood, rubber, fabric",room,No
9,Unknown,"metal, fabric, plastic",corridor,Yes
10,Impulse,"wood, plastic",room,Unknown
11,Impulse,"paper, wood, metal",room,Neutral
12,Iterative,"liquid, ceramic, metal",corridor,Yes
13,Impulse,"wood, fabric",corridor,Neutral
14,Impulse,"plastic, metal, others",corridor,Neutral
15,Impulse,"plastic, metal, others",indoor,Neutral
16,Impulse,"metal, plastic, organic",kitchen,Unknown
17,Impulse,"plastic, metal",corridor,Unknown
18,Sustain,"snow, metal, plastic, fabric",outdoor,Unknown
19,Iterative,"wood, plastic",indoor,No
20,Impulse,"metal, plastic, paper, wood",office,No
21,Iterative,plastic,indoor,Neutral
22,Sustain,"metal, liquid, ceramic, stone",bathroom,Yes
23,Iterative,"plastic, organic",indoor,No
24,Sustain,"liquid, plastic, paper",office,Neutral
25,Unknown,"paper, metal, plastic",indoor,Yes
26,Impulse,"plastic, wood",corridor,No
27,Impulse,"leather, metal",indoor,Neutral
28,Impulse,"fabric, rubber, plastic",indoor,Unknown
29,Impulse,"plastic, liquid",indoor,Neutral
30,Impulse,"leather, fabric, glass, plastic",indoor,Neutral
31,Iterative,"plastic, metal",indoor,Neutral
32,Unknown,"metal, wood, plastic",indoor,Neutral
33,Impulse,"plastic, metal",indoor,Neutral
34,Unknown,plastic,indoor,Neutral
35,Sustain,"metal, plastic, others",hall,Neutral
36,Sustain,"metal, plastic",corridor,Neutral
37,Unknown,"snow, wood, fabric, plastic",outdoor,Neutral
38,Impulse,"metal, plastic, rubber",indoor,Neutral
39,Sustain,"wood, metal",room,Neutral
40,Iterative,"plastic, rubber",office,Neutral
41,Unknown,"metal, plastic",office,Neutral
42,Impulse,"metal, glass",indoor,Neutral
43,Impulse,"metal, plastic",outdoor,No
44,Unknown,"plastic, glass, rubber",indoor,Neutral
45,Impulse,plastic,indoor,Neutral
46,Sustain,"ceramic, liquid",bathroom,Neutral
47,Impulse,"plastic, metal",indoor,Neutral
48,Iterative,plastic,indoor,Neutral
49,Sustain,"glass, metal, liquid",kitchen,Yes
50,Iterative,"metal, wood",indoor,No
51,Unknown,"metal, snow",outdoor,No
52,Iterative,"metal, wood, liquide, others",kitchen,Neutral
53,Sustain,"wood, metal",room,Neutral
54,Iterative,"metal, liquid, snow, fabric",outdoor,Unknown
55,Sustain,metal,kitchen,Neutral
56,Impulse,wood,kitchen,Neutral
57,Iterative,"wood, metal, fabric",room,Neutral
58,Sustain,"metal, fabric",room,Neutral
59,Impulse,"wood, paper",indoor,Neutral
60,Sustain,plastic,indoor,Neutral
61,Sustain,"metal, fabric",indoor,Neutral
62,Impulse,plastic,indoor,Neutral
63,Impulse,"plastic, paper, others",office,Neutral
64,Impulse,plastic,room,Neutral
65,Iterative,"plastic, metal",indoor,No
66,Sustain,"plastic, metal, electronic",kitchen,Neutral
67,Impulse,"paper, wood",room,Unknown
68,Impulse,stone,outdoor,Neutral
69,Iterative,"stone, rubber, fabric",outdoor,Neutral
70,Sustain,"wood, metal, others",indoor,Yes
71,Iterative,"metal, plastic, organic, electronic, others",kitchen,No
72,Iterative,"liquid, glass, plastic",kitchen,Yes
73,Impulse,wood,indoor,Unknown
74,Sustain,"wood, others",indoor,Yes
75,Iterative,"plastic, rubber, metal",corridor,Neutral
76,Iterative,"plastic, metal",indoor,Neutral
77,Impulse,"wood, others",indoor,Yes
78,Sustain,"metal, ceramic, organic, others",kitchen,Unknown
79,Iterative,"metal, wood, fabric",indoor,No
80,Impulse,"plastic, wood",indoor,Neutral
81,Unknown,paper,office,Neutral
82,Sustain,"ceramic, metal, organic, liquid",kitchen,No
83,Iterative,plastic,kitchen,No
84,Iterative,"plastic, wood, liquid, metal",office,No
85,Impulse,"plastic, metal, fabric",indoor,Neutral
86,Iterative,"metal, plastic",indoor,Neutral
87,Sustain,"metal, stone",office,Neutral
88,Sustain,"plastic, wood, stone, fabric",indoor,Neutral
89,Impulse,"glass, metal, liquid",kitchen,Neutral
90,Iterative,"rubber, wood, plastic",corridor,Neutral
91,Sustain,wood,indoor,Neutral
92,Iterative,"plastic, wood",room,Neutral
93,Iterative,"plastic, organic, wood, others",outdoor,Neutral
94,Iterative,"metal, wood",indoor,Yes
95,Impulse,"ceramic, metal",indoor,Neutral
96,Iterative,skin,indoor,Neutral
97,Impulse,"glass, skin",indoor,Yes
98,Sustain,plastic,indoor,No
99,Unknown,plastic,indoor,Neutral
100,Iterative,metal,indoor,No
101,Impulse,plastic,indoor,Neutral
102,Iterative,plastic,indoor,No
103,Iterative,"plastic, fabric, metal, glass",room,Neutral
104,Unknown,fabric,room,Neutral
105,Unknown,"metal, fabric, glass, plastic, electronic, others",corridor,No
106,Iterative,"metal, fabric, stone",outdoor,No
107,Sustain,"plastic, fabric",indoor,No
108,Iterative,"stone, rubber, fabric",corridor,No
